analysis_subset,identity_share_aggressive_reduction,identity_share_balanced_guardrail,identity_share_baseline,context_share_aggressive_reduction,context_share_balanced_guardrail,context_share_baseline,other_share_aggressive_reduction,other_share_balanced_guardrail,other_share_baseline,identity_share_balanced_guardrail_delta_vs_baseline,identity_share_aggressive_reduction_delta_vs_baseline,context_share_balanced_guardrail_delta_vs_baseline,context_share_aggressive_reduction_delta_vs_baseline,other_share_balanced_guardrail_delta_vs_baseline,other_share_aggressive_reduction_delta_vs_baseline
baseline_identity_fp_resolved_by_aggressive,0.17908775566103632,0.23175872014867302,0.27196968550278394,0.02244285149201663,0.011012062621903672,0.013480419216247881,0.798469392846947,0.7572292172294233,0.7145498952809682,-0.04021096535411092,-0.09288192984174762,-0.002468356594344209,0.008962432275768747,0.04267932194845503,0.08391949756597872
common_correct_identity_hateful,0.2840338831862958,0.32291956330652255,0.3679873415363152,0.019147699319124818,0.03269725494818631,0.02021053235615022,0.6968184174945794,0.6443831817452911,0.6118021261075345,-0.04506777822979263,-0.08395345835001938,0.012486722592036089,-0.0010628330370254027,0.032581055637756595,0.08501629138704492
common_identity_fp_all_models,0.23964495459383678,0.29726856363337095,0.3296257971975204,0.01236323821921241,0.01380942271378767,0.01291240004539855,0.7479918071869507,0.6889220136528413,0.6574618027570811,-0.032357233564149435,-0.08998084260368361,0.0008970226683891191,-0.0005491618261861397,0.03146021089576023,0.09053000442986958
