term_group,aggressive_reduction_recall,balanced_guardrail_recall,baseline_recall,n_aggressive_reduction_recall,n_balanced_guardrail_recall,n_baseline_recall,fn_aggressive_reduction,fn_balanced_guardrail,fn_baseline,aggressive_reduction_mean_prob_hateful,balanced_guardrail_mean_prob_hateful,baseline_mean_prob_hateful,balanced_delta_recall_vs_baseline,aggressive_delta_recall_vs_baseline,term,aggressive_reduction,balanced_guardrail,baseline,balanced_delta_vs_baseline,aggressive_delta_vs_baseline,n_aggressive_reduction_attr,n_balanced_guardrail_attr,n_baseline_attr,n_baseline
gay_lgbt,0.6891891891891893,0.8378378378378378,0.8648648648648649,74,74,74,23,12,10,0.6891675274864865,0.8229314229729731,0.8644557951216215,-0.027027027027027084,-0.17567567567567566,gay_lgbt,0.046157361798759,0.0507802557489565,0.0387918252120251,0.0119884305369313,0.0073655365867338,1.0,1.0,1.0,74
disability,0.7222222222222222,0.7777777777777778,0.7777777777777778,18,18,18,5,4,4,0.7198536610555555,0.7451857459444444,0.7613513907388889,0.0,-0.05555555555555558,,,,,,,,,,18
black,0.896551724137931,0.9310344827586207,0.9439655172413793,232,232,232,24,16,13,0.8436994237047415,0.8971144245431035,0.9369336791094828,-0.012931034482758674,-0.04741379310344829,black,0.1861174295544712,0.2174089643122934,0.2712182633925967,-0.0538092990803033,-0.0851008338381255,3.0,4.0,4.0,232
jewish,0.8571428571428572,0.887218045112782,0.8947368421052632,133,133,133,19,15,14,0.8502741803909775,0.8771857580300751,0.895723003631579,-0.007518796992481147,-0.03759398496240596,jewish,0.2410493856778246,0.2714143244809704,0.3288879415274331,-0.0574736170464627,-0.0878385558496084,3.0,3.0,3.0,133
other_trigger,0.9714285714285714,0.9428571428571428,1.0,35,35,35,1,2,0,0.9391895771428571,0.9440080419999999,0.9850587179999999,-0.05714285714285716,-0.02857142857142858,other_trigger,0.1065466761862447,0.053945806207306,,,,1.0,1.0,,35
women,0.7027027027027026,0.7567567567567568,0.7297297297297297,37,37,37,11,9,10,0.6757710577027026,0.7447959456486486,0.7339917086756756,0.027027027027027084,-0.027027027027027084,women,0.1028154189270629,0.0847018393757049,0.0774543662653939,0.007247473110311,0.025361052661669,1.0,1.0,1.0,37
muslim,0.88,0.9,0.9,100,100,100,12,10,10,0.8213983969800001,0.8797973973900001,0.9003574957599999,0.0,-0.020000000000000018,muslim,0.1734554155858719,0.2507073664314787,0.313125690667514,-0.0624183242360353,-0.139670275081642,3.0,3.0,3.0,100
white,0.8200000000000001,0.85,0.84,100,100,100,18,15,16,0.77988326032,0.8216513770499999,0.8340187064200001,0.010000000000000009,-0.019999999999999907,white,0.1321882941317618,0.1091057878771358,0.183943166999961,-0.0748373791228251,-0.0517548728681991,4.0,5.0,3.0,100
immigrant_nationality,0.7419354838709677,0.7419354838709677,0.7096774193548387,31,31,31,8,8,9,0.7169692107096775,0.7262797280000001,0.7104498551354839,0.032258064516129004,0.032258064516129004,immigrant_nationality,0.0455332705572542,0.0856265201205397,0.0446609995177487,0.040965520602791,0.0008722710395054,1.0,2.0,3.0,31
