term,aggressive_reduction,balanced_guardrail,baseline,balanced_delta_vs_baseline,aggressive_delta_vs_baseline,n_aggressive_reduction,n_balanced_guardrail,n_baseline
jewish,0.24104938567782463,0.2714143244809704,0.3288879415274331,-0.0574736170464627,-0.08783855584960848,3.0,3.0,3.0
muslim,0.17345541558587196,0.2507073664314787,0.313125690667514,-0.06241832423603533,-0.13967027508164204,3.0,3.0,3.0
black,0.1861174295544712,0.2174089643122934,0.27121826339259675,-0.05380929908030335,-0.08510083383812556,3.0,4.0,4.0
white,0.13218829413176184,0.10910578787713585,0.18394316699996102,-0.07483737912282518,-0.05175487286819919,4.0,5.0,3.0
women,0.10281541892706299,0.08470183937570498,0.07745436626539393,0.007247473110311056,0.025361052661669062,1.0,1.0,1.0
immigrant_nationality,0.045533270557254264,0.08562652012053978,0.044660999517748774,0.04096552060279101,0.00087227103950549,1.0,2.0,3.0
gay_lgbt,0.04615736179875901,0.050780255748956574,0.038791825212025184,0.01198843053693139,0.007365536586733827,1.0,1.0,1.0
kill,0.041411291967917666,,,,,1.0,,
other_trigger,0.10654667618624473,0.05394580620730601,,,,1.0,1.0,
