analysis_subset,model,identity_share,context_share,other_share
baseline_identity_fp_resolved_by_aggressive,aggressive_reduction,0.17908775566103632,0.02244285149201663,0.798469392846947
baseline_identity_fp_resolved_by_aggressive,balanced_guardrail,0.23175872014867302,0.011012062621903672,0.7572292172294233
baseline_identity_fp_resolved_by_aggressive,baseline,0.27196968550278394,0.013480419216247881,0.7145498952809682
common_correct_identity_hateful,aggressive_reduction,0.2840338831862958,0.019147699319124818,0.6968184174945794
common_correct_identity_hateful,balanced_guardrail,0.32291956330652255,0.03269725494818631,0.6443831817452911
common_correct_identity_hateful,baseline,0.3679873415363152,0.02021053235615022,0.6118021261075345
common_identity_fp_all_models,aggressive_reduction,0.23964495459383678,0.01236323821921241,0.7479918071869507
common_identity_fp_all_models,balanced_guardrail,0.29726856363337095,0.01380942271378767,0.6889220136528413
common_identity_fp_all_models,baseline,0.3296257971975204,0.01291240004539855,0.6574618027570811
